"filename", "language", "Dart", "C++", "YAML", "JSON", "Markdown", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Pleb\Documents\ticketing_system\windows\flutter\generated_plugin_registrant.cc", "C++", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -15
"c:\Users\Pleb\Documents\ticketing_system\windows\flutter\generated_plugin_registrant.h", "C++", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\flutter_window.cpp", "C++", 0, -49, 0, 0, 0, 0, 0, 0, 0, 0, -7, -16, -72
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\flutter_window.h", "C++", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\main.cpp", "C++", 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\resource.h", "C++", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\utils.cpp", "C++", 0, -54, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -66
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\utils.h", "C++", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\win32_window.cpp", "C++", 0, -210, 0, 0, 0, 0, 0, 0, 0, 0, -24, -55, -289
"c:\Users\Pleb\Documents\ticketing_system\windows\runner\win32_window.h", "C++", 0, -48, 0, 0, 0, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", -14, -538, -29, -248, -13, -54, -38, -464, -95, -8, -289, -282, -2072
